movie_title,release_date,genre
"I, Olga Hepnarová",24-Mar-17,"Biography,Drama,Thriller,Crime"
Sushi: The Global Catch,3-Aug-12,"History,Documentary,News"
Sacrifice,27-Jul-12,"Drama,History"
Tommy's Honour,14-Apr-17,"Biography,Drama,History,Sport,Romance"
Greedy Lying Bastards,8-Mar-13,Documentary
The Driver,28-Jul-78,"Action,Thriller,Crime"
3 Hearts,13-Mar-15,Drama
Spark: A Burning Man Story,16-Aug-13,"Action,Biography,Drama,Documentary"
Union Square,13-Jul-12,Drama
Dreaming of Joseph Lees,29-Oct-99,"Drama,Romance"
I Am Eleven,12-Sep-14,"Biography,Documentary"
The Brooklyn Brothers Beat the Best,21-Sep-12,"Comedy,Music"
Whole New Thing,6-Apr-07,"Drama,Comedy"
Amu,25-May-07,Drama
Next of Kin,20-Oct-89,"Action,Thriller,Crime"
Group,5-Jul-02,"Drama,Comedy"
Ghost River,5-Mar-04,Drama
Zorro: The Gay Blade,17-Jul-81,"Action,Adventure,Comedy,Romance,Western"
American Chaos,14-Sep-18,Documentary
Private Peaceful,31-Oct-14,"Drama,War"
The Song of Sway Lake,21-Sep-18,"Drama,Romance,Musical"
Twelve Thirty,14-Jan-11,Drama
The Human Scale,18-Oct-13,"Documentary,News"
Auggie Rose,15-Jun-01,"Drama,Mystery,Thriller"
Just Like Us,10-Jun-11,Documentary
Special Treatment,26-Aug-11,"Drama,Comedy"
Meeting Resistance,19-Oct-07,Documentary
When Comedy Went to School,31-Jul-13,"Drama,Comedy,Documentary"
Incantato,24-Sep-04,"Drama,Comedy,Romance"
Spring Fever,6-Aug-10,Drama
The Dry Land,30-Jul-10,Drama
U.N. Me,1-Jun-12,Documentary
Little Darlings,21-Mar-80,"Drama,Comedy"
Paternity,2-Oct-81,"Comedy,Romance"
Hey Bartender,7-Jun-13,Documentary
Suspended Animation,31-Oct-03,Thriller
Jake Speed,30-May-86,"Action,Adventure,Comedy,Crime"
Tonight You're Mine,11-May-12,"Drama,Comedy,Music"
Two Moon Junction,29-Apr-88,"Drama,Romance"
Shock Treatment,31-Oct-81,"Comedy,Musical"
Take Care,5-Dec-14,"Drama,Comedy,Romance"
The Wait,31-Jan-14,"Drama,Thriller"
The Time Being,26-Jul-13,Mystery
Answers to Nothing,2-Dec-11,"Drama,Mystery"
The Condemned,1-Mar-13,Mystery
The Crash,13-Jan-17,"Thriller,Crime"
McCanick,21-Mar-14,"Drama,Mystery,Thriller,Crime"
Friended to Death,2-May-14,Comedy
Besotted,1-Nov-02,"Comedy,Romance"
Unplanned,29-Mar-19,"Biography,Drama"
Darkness,25-Dec-04,"Mystery,Thriller,Horror"
Kung Pow: Enter the Fist,25-Jan-02,"Action,Comedy"
Knock Down the House,1-May-19,Documentary
Marci X,22-Aug-03,"Comedy,Music"
Valentine,2-Feb-01,"Thriller,Horror"
Deuces Wild,3-May-01,"Action,Drama,Crime"
Mortal Kombat: Annihilation,21-Nov-97,"Action,Adventure,Sci-Fi,Thriller,Fantasy"
Harlem Nights,17-Nov-89,"Drama,Comedy,Romance,Crime"
Jawbreaker,19-Feb-99,"Comedy,Crime"
Surviving Christmas,22-Oct-04,"Comedy,Romance"
The Ottoman Lieutenant,10-Mar-17,"Drama,War"
Ready to Rumble,7-Apr-00,"Sport,Comedy"
The Mod Squad,26-Mar-99,"Action,Thriller"
Adam,14-Aug-19,Comedy
Dracula 2000,22-Dec-00,"Action,Horror,Romance"
Here on Earth,24-Mar-00,"Drama,Romance"
Double Take,12-Jan-01,"Action,Thriller,Comedy,Crime"
In the Name of the King: A Dungeon Siege Tale,11-Jan-08,"Action,Adventure,Drama,Fantasy"
Sorority Row,11-Sep-09,"Thriller,Horror"
